Country,Confirmed,Deaths,Recovered,Population,Continent
Afghanistan,39703,1473,33064,38928341,Asia
Albania,15231,416,9406,2877800,Europe
Algeria,52940,1795,37170,43851043,Africa
Andorra,2696,55,1814,77265,Europe
Angola,6246,218,2716,32866268,Africa
Antigua and Barbuda,111,3,97,97928,North America
Argentina,883882,23581,709464,45195777,South America
Armenia,55736,1016,45771,2963234,Europe
Australia,27263,898,24987,25499881,Oceania
Austria,54423,852,42829,9006400,Europe
Azerbaijan,41752,608,39235,10139175,Europe
Bahamas,5023,106,2815,393248,North America
Bahrain,75287,273,70808,1701583,Asia
Bangladesh,377073,5500,291365,164689383,Asia
Barbados,206,7,183,287371,North America
Belarus,82471,885,76543,9449321,Europe
Belgium,156931,10175,20202,11589616,Europe
Belize,2427,35,1487,397621,North America
Benin,2411,41,1973,12123198,Africa
Bhutan,306,0,287,771612,Asia
Bolivia,138463,8292,100786,11673029,South America
Bosnia and Herzegovina,30345,927,23370,3280815,Europe
Botswana,3219,18,834,2351625,Africa
Brazil,5055888,149639,4502854,212559409,South America
Brunei,146,3,143,437479,Asia
Bulgaria,24319,891,15818,6948445,Europe
Burkina Faso,2271,61,1542,20903278,Africa
Burma,26064,598,7050,54409800,Asia
Burundi,517,1,472,11890781,Africa
Cabo Verde,6913,74,5970,548800,Africa
Cambodia,283,0,277,16718971,Asia
Cameroon,21203,423,20117,26545864,Africa
Canada,182767,9661,153857,37742157,North America
Central African Republic,4854,62,1924,4829764,Africa
Chad,1291,92,1103,16425859,Africa
Chile,479595,13272,452054,19116209,South America
China,90778,4739,85658,1439323774,Asia
Colombia,902747,27660,783131,50882884,South America
Comoros,495,7,475,869595,Africa
Congo,10841,276,10242,5518092,Africa
Costa Rica,87439,1076,52669,5094114,North America
Croatia,19932,317,16953,4105268,Europe
Cuba,5948,123,5440,11326616,North America
Cyprus,1986,25,1444,875899,Europe
Czechia,114005,948,54909,10708982,Europe
Denmark,32575,667,26462,5792203,Europe
Djibouti,5423,61,5355,988002,Africa
Dominica,32,0,24,71991,North America
Dominican Republic,118014,2167,93627,10847904,North America
Ecuador,146828,12188,120511,17643060,South America
Egypt,104387,6040,97643,102334403,Africa
El Salvador,29951,887,24995,6486201,North America
Equatorial Guinea,5063,83,4894,1402985,Africa
Eritrea,414,0,372,3546427,Africa
Estonia,3846,68,2946,1326539,Europe
Eswatini,5660,113,5282,1160164,Africa
Ethiopia,83429,1277,37683,114963583,Africa
Fiji,32,2,28,896444,Oceania
Finland,11849,346,8500,5540718,Europe
France,732434,32601,103232,65273512,Europe
Gabon,8835,54,8189,2225728,Africa
Gambia,3628,117,2540,2416664,Africa
Georgia,11271,78,6119,3989175,Europe
Germany,323463,9620,274934,83783945,Europe
Ghana,47005,306,46398,31072945,Africa
Greece,22078,436,1347,10423056,Europe
Grenada,24,0,24,112519,North America
Guatemala,97544,3365,86046,17915567,North America
Guinea,10996,69,10304,13132792,Africa
Guinea-Bissau,2385,40,1728,1874000,Africa
Guyana,3405,102,2304,786559,South America
Haiti,8860,230,7104,11402533,North America
Honduras,83146,2504,31931,9904608,North America
Hungary,36596,933,9683,9660350,Europe
Iceland,3460,10,2466,341250,Europe
India,7053806,108334,6077976,1380004385,Asia
Indonesia,328952,11765,251481,273523621,Asia
Iran,496253,28293,403950,83992953,Asia
Iraq,400124,9790,332330,40222503,Asia
Ireland,41714,1824,23364,4937796,Europe
Israel,289875,1941,225725,8655541,Asia
Italy,349494,36140,238525,60461828,Europe
Jamaica,7559,138,3142,2961161,North America
Japan,88962,1626,80798,126476458,Asia
Jordan,23998,181,6045,10203140,Asia
Kazakhstan,108757,1746,103980,18776707,Asia
Kenya,41158,760,31876,53771300,Africa
"Korea, South",24606,432,22693,51640000,Asia
Kosovo,16130,645,14282,1932774,Europe
Kuwait,110568,655,102722,4270563,Asia
Kyrgyzstan,48924,1082,44227,6524191,Asia
Laos,23,0,22,7275556,Asia
Latvia,2596,40,1322,1886202,Europe
Lebanon,52558,455,22719,6825442,Asia
Lesotho,1800,42,926,2142252,Africa
Liberia,1363,82,1245,5057677,Africa
Libya,41686,623,23791,6871287,Africa
Liechtenstein,142,1,117,38137,Europe
Lithuania,5963,103,2751,2722291,Europe
Luxembourg,9119,128,7900,625976,Europe
Madagascar,16702,237,16012,27691019,Africa
Malawi,5821,180,4644,19129955,Africa
Malaysia,15096,155,10780,32365998,Asia
Maldives,10859,34,9683,540542,Asia
Mali,3273,132,2525,20250834,Africa
Malta,3681,41,2937,441539,Europe
Mauritania,7550,163,7266,4649660,Africa
Mauritius,395,10,358,1271767,Africa
Mexico,814328,83642,689377,128932753,North America
Moldova,61762,1458,43982,4033963,Europe
Monaco,233,2,209,39244,Europe
Mongolia,315,0,310,3278292,Asia
Montenegro,13641,198,9429,628062,Europe
Morocco,149841,2572,124854,36910558,Africa
Mozambique,9844,70,7203,31255435,Africa
Namibia,11891,128,9807,2540916,Africa
Nepal,105684,614,74252,29136808,Asia
Netherlands,173894,6624,4761,17134873,Europe
New Zealand,1871,25,1801,4822233,Oceania
Nicaragua,5264,153,4225,6624554,North America
Niger,1201,69,1123,24206636,Africa
Nigeria,60103,1115,51711,206139587,Africa
North Macedonia,20555,785,16099,2083380,Europe
Norway,15466,275,11863,5421242,Europe
Oman,104129,1009,91731,5106622,Asia
Pakistan,318932,6570,303458,220892331,Asia
Panama,119666,2482,95552,4314768,North America
Papua New Guinea,549,7,532,8947027,Oceania
Paraguay,48978,1065,31351,7132530,South America
Peru,846088,33223,733000,32971846,South America
Philippines,336926,6238,276094,109581085,Asia
Poland,121638,2972,78982,37846605,Europe
Portugal,85574,2067,52803,10196707,Europe
Qatar,127778,219,124767,2881060,Asia
Romania,152403,5358,116628,19237682,Europe
Russia,1278245,22331,1011911,145934460,Europe
Rwanda,4892,30,3566,12952209,Africa
Saint Kitts and Nevis,19,0,18,53192,North America
Saint Lucia,29,0,27,183629,North America
Saint Vincent and the Grenadines,64,0,64,110947,North America
San Marino,741,42,682,33938,Europe
Sao Tome and Principe,922,15,890,219161,Africa
Saudi Arabia,338944,5018,324737,34813867,Asia
Senegal,15244,314,13198,16743930,Africa
Serbia,34685,762,0,6804596,Europe
Seychelles,148,0,144,98340,Africa
Sierra Leone,2300,72,1725,7976985,Africa
Singapore,57866,27,57698,5850343,Asia
Slovakia,18797,61,5553,5459643,Europe
Slovenia,8252,167,5024,2078932,Europe
Somalia,3847,99,3079,15893219,Africa
South Africa,690896,17673,622153,59308690,Africa
South Sudan,2761,54,1290,11193729,Africa
Spain,861112,32929,150376,46754783,Europe
Sri Lanka,4628,13,3306,21413250,Asia
Sudan,13670,836,6764,43849269,Africa
Suriname,5035,107,4830,586634,South America
Sweden,98451,5894,0,10099270,Europe
Switzerland,60368,2088,48400,8654618,Europe
Syria,4673,221,1271,17500657,Asia
Taiwan,527,7,488,23816775,Asia
Tajikistan,10180,79,9006,9537642,Asia
Tanzania,509,21,183,56320000,Africa
Thailand,3636,59,3451,69799978,Asia
Togo,1935,49,1444,8278737,Africa
Trinidad and Tobago,5043,90,3221,1399491,North America
Tunisia,31259,456,5032,11818618,Africa
Turkey,334031,8778,293145,84339067,Asia
Uganda,9701,93,6022,45741000,Africa
Ukraine,263105,5010,116861,43733759,Europe
United Arab Emirates,105133,443,95973,9890400,Asia
United Kingdom,593565,42850,2495,67886004,Europe
Uruguay,2268,50,1930,3473727,South America
United States,7717932,214370,3062983,331002647,North America
Uzbekistan,60776,502,57704,33469199,Asia
Venezuela,82453,691,73919,28435943,South America
Vietnam,1107,35,1024,97338583,Asia
West Bank and Gaza,43945,378,37240,4430000,Asia
Western Sahara,10,1,8,597330,Africa
Yemen,2051,595,1329,29825968,Asia
Zambia,15415,337,14541,18383956,Africa
Zimbabwe,8010,230,6492,14862927,Africa
